pado,insured_rate,disability_rate,electricity_access_rate,piped_water_access_rate,drainage_access_rate,floor_material_rate,occupants_per_room,average_schooling
True,0.4383755301375144,0.1101400848220023,0.9921875,0.9953125,0.9963541666666668,0.9130208333333332,1.12,8.93
True,0.5420868040333188,0.1389741341516878,0.9919857524487978,0.9955476402493322,0.9973285841495992,0.9020480854853072,1.09,10.02
True,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
True,0.6212660028449503,0.1774537695590327,0.9937965260545906,0.9950372208436724,0.9950372208436724,0.9900744416873448,1.22,9.3
True,0.56501677852349,0.1434563758389261,0.9973297730307076,0.9973297730307076,0.9986648865153538,0.9959946595460614,0.71,11.13
True,0.6109911207103432,0.1430285577153827,0.9948630136986302,0.9931506849315068,0.9940068493150684,0.9863013698630136,0.91,11.41
True,0.5224534501642936,0.1018619934282584,0.993006993006993,0.993006993006993,0.993006993006993,0.993006993006993,0.67,12.17
True,0.6060837956762961,0.1325808303041898,0.9847425301970756,0.9847425301970756,0.9847425301970756,0.9713922441195167,1.1,10.67
True,0.5575030012004802,0.1061224489795918,0.9773960216998192,0.9746835443037974,0.9773960216998192,0.9710669077757684,1.03,11.02
True,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
True,0.5567091087169441,0.1882468168462291,0.9978525411596276,0.9978525411596276,0.9971367215461704,0.984251968503937,0.91,11.55
True,0.4804964539007092,0.0886524822695035,0.9956140350877192,0.9649122807017544,0.993421052631579,0.9736842105263158,1.23,8.66
True,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.6551376762928139,0.1584956346541303,1.0,1.0,1.0,0.990990990990991,0.95,11.42
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.5745901639344262,0.090983606557377,0.994579945799458,0.994579945799458,0.994579945799458,0.978319783197832,0.79,11.31
True,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
